Name,Raise,Stage,Funds and Investors,Date
Kresus,$ 13.00M,Strategic,Hanwha Investment & Securities,19 Feb
Novig,$ 75.00M,Series B,Pantera Capital+6,18 Feb
MYX Finance,N/A,Strategic,ConsenSys+2,18 Feb
Magna,N/A,M&A,Kraken,18 Feb
Unicity,$ 3.00M,Seed,Blockchange Ventures+2,17 Feb
Ponder,N/A,M&A,Monad,17 Feb
Fireplace,$ 1.50M,Pre-Seed,Frachtis+10,17 Feb
PRED,$ 2.50M,Seed,Accel+5,17 Feb
PlutonAI,$ 2.70M,Seed,Kitchen,17 Feb
PlutonAI,N/A,Incubation,HyperGPT,17 Feb
BTC Inc,$ 107 M,M&A,Nakamoto,16 Feb
Honeypop,N/A,M&A,Scroll,16 Feb
Dreamcash,N/A,Strategic,Tether,13 Feb
YOM,$ 3.00M,Strategic,Avalanche Foundation+6,13 Feb
Stable,N/A,Undisclosed,eGirl Capital,13 Feb
Record (prev. YOAKE),$ 3.20M,Undisclosed,Sony Innovation Fund,13 Feb
Korbit,$ 92.27M,M&A,Mirae Asset Global Investments,13 Feb
STBL,N/A,Strategic,OKX Ventures,12 Feb
Superset,$ 4.00M,Seed,7RIDGE+10,12 Feb
Hibachi,N/A,Undisclosed,Circle Ventures,12 Feb
Fija,N/A,M&A,Keyrock,12 Feb
Inveniam,N/A,M&A,MEASA Partners,12 Feb
Birch Hill,$ 2.50M,Pre-Seed,ParaFi Capital+14,11 Feb
Levl,$ 7.00M,Seed,Galaxy+7,11 Feb
LayerZero,N/A,Strategic,ARK Invest+1,11 Feb
Uniswap,N/A,Strategic,BlackRock,11 Feb
Rate Arbitrage Nexus,N/A,Strategic,Castrum Capital,10 Feb
Bullshot,$ 7.50M,Private Token Sale,Animoca Brands+12,10 Feb
edgeX,N/A,Strategic,Circle Ventures,10 Feb
LayerZero,N/A,Strategic,Tether,10 Feb
Sentinel Codes,N/A,Incubation,Impossible,9 Feb
Xross Road,$ 1.50M,Pre-Seed,Taisu Ventures+3,9 Feb
Zoth,N/A,Strategic,Taisu Ventures+2,9 Feb
Lightning Network Token,N/A,Strategic,Waterdrip Capital+1,6 Feb
t-0 Network,N/A,Strategic,Tether,6 Feb
Vyper,N/A,M&A,pump.fun,6 Feb
Gold.com,$ 150.00M,Strategic,Tether,5 Feb
Relay,$ 17.00M,Series B,Union Square Ventures (USV)+1,5 Feb
Certora,N/A,Grant,Ethereum Foundation,5 Feb
Anchorage Digital,$ 100.00M,Strategic,Tether,5 Feb
Ruvo,$ 4.60M,Seed,1confirmation+5,4 Feb
Penguin Securities,$ 18.00M,Pre-Series A,Mint+5,4 Feb
Chorus One,N/A,M&A,Bitwise,4 Feb
Opinion,$ 20.00M,Pre-Series A,Hack VC+3,4 Feb
Bitte (Prev. Mintbase),$ 1.70M,M&A,Amadeus Protocol,4 Feb
TRM Labs,$ 70.00M,Series C,Blockchain Capital+5,4 Feb
PlutusPLU,$ 2.3 M,--,--,4 Feb
Bluff,$ 21.00M,Strategic,1kx+14,3 Feb
Kairos,$ 2.50M,Undisclosed,Andreessen Horowitz (a16z crypto)+2,3 Feb
Tokens.com,N/A,M&A,Bed Bath & Beyond,2 Feb
Jupiter,$ 35.00M,Strategic,ParaFi Capital,2 Feb
Huddle01,N/A,Undisclosed,Tandem (by Offchain Labs),2 Feb
Derive,N/A,Undisclosed,Variant,2 Feb
Prometheum,$ 23 M,--,--,2 Feb
Euclid Protocol,$ 3.5 M,Seed,Kucoin VenturesGate Ventures,1 Feb
The Better Money Company,$ 10.00M,Undisclosed,Andreessen Horowitz (a16z crypto)+11,Mar 31
OpenFX,$ 94.00M,Series A,Pantera Capital+7,Mar 31
Uniblock,$ 5.20M,Undisclosed,NGC Ventures+13,Mar 31
Keyrock,N/A,Series C,SC Ventures+1,Mar 31
Latitude,$ 8 M,--,New Enterprise Associates（NEA）*Coinbase,Mar 30
